libelle_occup;Surface;Date-semis;Date-recolte-observee;Date-recolte-simulee;
BLE;14;1;10/10/2011;13/08/2012;308
BLE;14;8;10/10/2011;15/08/2012;310
BLE;10;4;11/10/2011;10/08/2012;304
BLE;6;7;11/10/2011;11/08/2012;305
BLE;7;3;12/10/2011;18/08/2012;311
BLE;22;2;13/10/2011;11/08/2012;303
BLE;7;0;14/10/2011;01/08/2012;292
BLE;13;9;14/10/2011;14/08/2012;305
BLE;15;1;15/10/2011;15/08/2012;305
BLE;3;4;15/10/2011;25/08/2012;315
BLE;5;4;16/10/2011;15/08/2012;304
BLE;5;9;18/10/2011;15/08/2012;302
BLE;2;8;20/10/2011;12/08/2012;297
